Order	Family name	Family	Common name	Scientific name	2022 IUCN Red List category
STRUTHIONIFORMES	Struthionidae	Ostriches	Common Ostrich	Struthio camelus	LC
STRUTHIONIFORMES	Struthionidae	Ostriches	Somali Ostrich	Struthio molybdophanes	VU
STRUTHIONIFORMES	Rheidae	Rheas	Greater Rhea	Rhea americana	NT
STRUTHIONIFORMES	Rheidae	Rheas	Lesser Rhea	Rhea pennata	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Tawny-breasted Tinamou	Nothocercus julius	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Highland Tinamou	Nothocercus bonapartei	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Hooded Tinamou	Nothocercus nigrocapillus	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Grey Tinamou	Tinamus tao	VU
STRUTHIONIFORMES	Tinamidae	Tinamous	Solitary Tinamou	Tinamus solitarius	NT
STRUTHIONIFORMES	Tinamidae	Tinamous	Black Tinamou	Tinamus osgoodi	VU
STRUTHIONIFORMES	Tinamidae	Tinamous	Great Tinamou	Tinamus major	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	White-throated Tinamou	Tinamus guttatus	NT
STRUTHIONIFORMES	Tinamidae	Tinamous	Berlepsch's Tinamou	Crypturellus berlepschi	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Cinereous Tinamou	Crypturellus cinereus	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Tepui Tinamou	Crypturellus ptaritepui	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Little Tinamou	Crypturellus soui	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Brown Tinamou	Crypturellus obsoletus	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Undulated Tinamou	Crypturellus undulatus	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Brazilian Tinamou	Crypturellus strigulosus	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Grey-legged Tinamou	Crypturellus duidae	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Red-legged Tinamou	Crypturellus erythropus	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Yellow-legged Tinamou	Crypturellus noctivagus	NT
STRUTHIONIFORMES	Tinamidae	Tinamous	Black-capped Tinamou	Crypturellus atrocapillus	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Thicket Tinamou	Crypturellus cinnamomeus	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Pale-browed Tinamou	Crypturellus transfasciatus	NT
STRUTHIONIFORMES	Tinamidae	Tinamous	Slaty-breasted Tinamou	Crypturellus boucardi	VU
STRUTHIONIFORMES	Tinamidae	Tinamous	Choco Tinamou	Crypturellus kerriae	VU
STRUTHIONIFORMES	Tinamidae	Tinamous	Variegated Tinamou	Crypturellus variegatus	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Rusty Tinamou	Crypturellus brevirostris	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Bartlett's Tinamou	Crypturellus bartletti	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Barred Tinamou	Crypturellus casiquiare	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Small-billed Tinamou	Crypturellus parvirostris	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Tataupa Tinamou	Crypturellus tataupa	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Red-winged Tinamou	Rhynchotus rufescens	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Huayco Tinamou	Rhynchotus maculicollis	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Taczanowski's Tinamou	Nothoprocta taczanowskii	VU
STRUTHIONIFORMES	Tinamidae	Tinamous	Ornate Tinamou	Nothoprocta ornata	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Chilean Tinamou	Nothoprocta perdicaria	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Brushland Tinamou	Nothoprocta cinerascens	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Andean Tinamou	Nothoprocta pentlandii	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Curve-billed Tinamou	Nothoprocta curvirostris	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	White-bellied Nothura	Nothura boraquira	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Lesser Nothura	Nothura minor	VU
STRUTHIONIFORMES	Tinamidae	Tinamous	Darwin's Nothura	Nothura darwinii	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Spotted Nothura	Nothura maculosa	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Dwarf Tinamou	Taoniscus nanus	EN
STRUTHIONIFORMES	Tinamidae	Tinamous	Elegant Crested Tinamou	Eudromia elegans	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Quebracho Crested Tinamou	Eudromia formosa	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Puna Tinamou	Tinamotis pentlandii	LC
STRUTHIONIFORMES	Tinamidae	Tinamous	Patagonian Tinamou	Tinamotis ingoufi	LC
STRUTHIONIFORMES	Casuariidae	Cassowaries, Emus	Southern Cassowary	Casuarius casuarius	LC
STRUTHIONIFORMES	Casuariidae	Cassowaries, Emus	Dwarf Cassowary	Casuarius bennetti	LC
STRUTHIONIFORMES	Casuariidae	Cassowaries, Emus	Northern Cassowary	Casuarius unappendiculatus	LC
STRUTHIONIFORMES	Casuariidae	Cassowaries, Emus	Common Emu	Dromaius novaehollandiae	LC
STRUTHIONIFORMES	Casuariidae	Cassowaries, Emus	King Island Emu	Dromaius minor	EX
STRUTHIONIFORMES	Casuariidae	Cassowaries, Emus	Kangaroo Island Emu	Dromaius baudinianus	EX
STRUTHIONIFORMES	Apterygidae	Kiwis	Great Spotted Kiwi	Apteryx haastii	VU
STRUTHIONIFORMES	Apterygidae	Kiwis	Little Spotted Kiwi	Apteryx owenii	NT
STRUTHIONIFORMES	Apterygidae	Kiwis	North Island Brown Kiwi	Apteryx mantelli	VU
STRUTHIONIFORMES	Apterygidae	Kiwis	Southern Brown Kiwi	Apteryx australis	VU
STRUTHIONIFORMES	Apterygidae	Kiwis	Okarito Kiwi	Apteryx rowi	VU
GALLIFORMES	Megapodiidae	Megapodes	Australian Brush-turkey	Alectura lathami	LC
GALLIFORMES	Megapodiidae	Megapodes	Wattled Brush-turkey	Aepypodius arfakianus	LC
GALLIFORMES	Megapodiidae	Megapodes	Waigeo Brush-turkey	Aepypodius bruijnii	EN
GALLIFORMES	Megapodiidae	Megapodes	Red-billed Brush-turkey	Talegalla cuvieri	LC
GALLIFORMES	Megapodiidae	Megapodes	Black-billed Brush-turkey	Talegalla fuscirostris	LC
GALLIFORMES	Megapodiidae	Megapodes	Collared Brush-turkey	Talegalla jobiensis	LC
GALLIFORMES	Megapodiidae	Megapodes	Malleefowl	Leipoa ocellata	VU
GALLIFORMES	Megapodiidae	Megapodes	Maleo	Macrocephalon maleo	CR
GALLIFORMES	Megapodiidae	Megapodes	Moluccan Scrubfowl	Eulipoa wallacei	VU
GALLIFORMES	Megapodiidae	Megapodes	Nicobar Scrubfowl	Megapodius nicobariensis	VU
GALLIFORMES	Megapodiidae	Megapodes	Philippine Scrubfowl	Megapodius cumingii	LC
GALLIFORMES	Megapodiidae	Megapodes	Sula Scrubfowl	Megapodius bernsteinii	VU
GALLIFORMES	Megapodiidae	Megapodes	Tanimbar Scrubfowl	Megapodius tenimberensis	VU
GALLIFORMES	Megapodiidae	Megapodes	Vanuatu Scrubfowl	Megapodius layardi	VU
GALLIFORMES	Megapodiidae	Megapodes	Micronesian Scrubfowl	Megapodius laperouse	NT
GALLIFORMES	Megapodiidae	Megapodes	Tongan Scrubfowl	Megapodius pritchardii	VU
GALLIFORMES	Megapodiidae	Megapodes	Dusky Scrubfowl	Megapodius freycinet	LC
GALLIFORMES	Megapodiidae	Megapodes	Biak Scrubfowl	Megapodius geelvinkianus	NT
GALLIFORMES	Megapodiidae	Megapodes	New Guinea Scrubfowl	Megapodius decollatus	LC
GALLIFORMES	Megapodiidae	Megapodes	Melanesian Scrubfowl	Megapodius eremita	LC
GALLIFORMES	Megapodiidae	Megapodes	Orange-footed Scrubfowl	Megapodius reinwardt	LC
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Black Guan	Chamaepetes unicolor	LC
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Sickle-winged Guan	Chamaepetes goudotii	LC
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Highland Guan	Penelopina nigra	VU
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Band-tailed Guan	Penelope argyrotis	LC
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Bearded Guan	Penelope barbata	NT
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Baudo Guan	Penelope ortoni	EN
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Andean Guan	Penelope montagnii	LC
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Marail Guan	Penelope marail	LC
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Rusty-margined Guan	Penelope superciliaris	NT
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Red-faced Guan	Penelope dabbenei	LC
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Spix's Guan	Penelope jacquacu	LC
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Crested Guan	Penelope purpurascens	NT
GALLIFORMES	Cracidae	Guans, Chachalacas, Curassows	Cauca Guan	Penelope perspicax	VU
