Sequencia	Ordem	Familia	Genero	CBRO_2021	BirdLife_2020	Categoria
1	Accipitriformes	Accipitridae	Accipiter	Accipiter striatus	Accipiter striatus	LC
2	Accipitriformes	Accipitridae	Buteo	Buteo brachyurus	Buteo brachyurus	LC
3	Accipitriformes	Accipitridae	Buteo	Buteo swainsoni	Buteo swainsoni	LC
4	Accipitriformes	Accipitridae	Elanoides	Elanoides forficatus	Elanoides forficatus	LC
5	Accipitriformes	Accipitridae	Elanus	Elanus leucurus	Elanus leucurus	LC
6	Accipitriformes	Accipitridae	Heterospizias	Heterospizias meridionalis	Buteogallus meridionalis	LC
7	Accipitriformes	Accipitridae	Ictinia	Ictinia plumbea	Ictinia plumbea	LC
8	Accipitriformes	Accipitridae	Leptodon	Leptodon cayanensis	Leptodon cayanensis	LC
9	Accipitriformes	Accipitridae	Parabuteo	Parabuteo leucorrhous	Parabuteo leucorrhous	LC
10	Accipitriformes	Accipitridae	Rostrhamus	Rostrhamus sociabilis	Rostrhamus sociabilis	LC
11	Accipitriformes	Accipitridae	Rupornis	Rupornis magnirostris	Rupornis magnirostris	LC
12	Accipitriformes	Accipitridae	Urubitinga	Urubitinga urubitinga	Buteogallus urubitinga	LC
13	Anseriformes	Anatidae	Amazonetta	Amazonetta brasiliensis	Amazonetta brasiliensis	LC
14	Apodiformes	Apodidae	Chaetura	Chaetura meridionalis	Chaetura meridionalis	LC
15	Apodiformes	Trochilidae	Chlorostilbon	Chlorostilbon lucidus	Chlorostilbon lucidus	LC
16	Apodiformes	Trochilidae	Leucochloris	Leucochloris albicollis	Leucochloris albicollis	LC
17	Apodiformes	Trochilidae	Stephanoxis	Stephanoxis loddigesii	Stephanoxis loddigesii	LC
18	Caprimulgiformes	Caprimulgidae	Antrostomus	Antrostomus rufus	Antrostomus rufus	LC
19	Caprimulgiformes	Caprimulgidae	Hydropsalis	Hydropsalis forcipata	Macropsalis forcipata	LC
20	Caprimulgiformes	Caprimulgidae	Hydropsalis	Hydropsalis torquata	Hydropsalis torquata	LC
21	Caprimulgiformes	Caprimulgidae	Lurocalis	Lurocalis semitorquatus	Lurocalis semitorquatus	LC
22	Cariamiformes	Cariamidae	Cariama	Cariama cristata	Cariama cristata	LC
23	Cathartiformes	Cathartidae	Cathartes	Cathartes aura	Cathartes aura	LC
24	Cathartiformes	Cathartidae	Coragyps	Coragyps atratus	Coragyps atratus	LC
25	Charadriiformes	Charadriidae	Vanellus	Vanellus chilensis	Vanellus chilensis	LC
26	Charadriiformes	Jacanidae	Jacana	Jacana jacana	Jacana jacana	LC
27	Columbiformes	Columbidae	Columbina	Columbina picui	Columbina picui	LC
28	Columbiformes	Columbidae	Columbina	Columbina talpacoti	Columbina talpacoti	LC
29	Columbiformes	Columbidae	Geotrygon	Geotrygon montana	Geotrygon montana	LC
