"Order" "Family.name" "Family" "Common.name" "Scientific.name" "X2022.IUCN.Red.List.category" "Forest.dependency" "Migratory.status"
"ACCIPITRIFORMES" "Accipitridae" "Hawks, Eagles" "Sharp-shinned Hawk" "Accipiter striatus" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Cardinalidae" "Cardinals" "Blue Seedeater" "Amaurospiza moesta" "LC" "High" "not a migrant"
"PSITTACIFORMES" "Psittacidae" "Parrots" "Red-spectacled Amazon" "Amazona pretrei" "VU" "Medium" "full migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "White-browed Foliage-gleaner" "Anabacerthia amaurotis" "NT" "High" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Ochre-breasted Foliage-gleaner" "Anabacerthia lichtensteini" "LC" "High" "not a migrant"
"PASSERIFORMES" "Motacillidae" "Pipits and Wagtails" "Yellowish Pipit" "Anthus lutescens" "LC" "Does not normally occur in forest" "not a migrant"
"CAPRIMULGIFORMES" "Caprimulgidae" "Nightjars" "Rufous Nightjar" "Antrostomus rufus" "LC" "Medium" "not a migrant"
"GRUIFORMES" "Rallidae" "Rails, Gallinules, Coots" "Slaty-breasted Wood-rail" "Aramides saracura" "LC" "Medium" "not a migrant"
"STRIGIFORMES" "Strigidae" "Typical Owls" "Stygian Owl" "Asio stygius" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Rufous-tailed Attila" "Attila phoenicurus" "LC" "Medium" "full migrant"
"CORACIIFORMES" "Momotidae" "Motmots" "Rufous-capped Motmot" "Baryphthengus ruficapillus" "LC" "High" "not a migrant"
"PASSERIFORMES" "Parulidae" "New World Warblers" "Golden-crowned Warbler" "Basileuterus auricapilla" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Giant Antshrike" "Batara cinerea" "LC" "Medium" "not a migrant"
"PELECANIFORMES" "Ardeidae" "Herons" "Cattle Egret" "Bubulcus ibis" "LC" "Low" "full migrant"
"ACCIPITRIFORMES" "Accipitridae" "Hawks, Eagles" "Great Black Hawk" "Buteogallus urubitinga" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Icteridae" "New World Blackbirds" "Golden-winged Cacique" "Cacicus chrysopterus" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Icteridae" "New World Blackbirds" "Red-rumped Cacique" "Cacicus haemorrhous" "LC" "Medium" "not a migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Cream-backed Woodpecker" "Campephilus leucopogon" "LC" "Low" "not a migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Robust Woodpecker" "Campephilus robustus" "LC" "High" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Southern Beardless Tyrannulet" "Camptostoma obsoletum" "LC" "Low" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Black-billed Scythebill" "Campylorhamphus falcularius" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Yellow Tyrannulet" "Capsiempis flaveola" "LC" "Low" "not a migrant"
"FALCONIFORMES" "Falconidae" "Falcons, Caracaras" "Southern Caracara" "Caracara plancus" "LC" "Does not normally occur in forest" "not a migrant"
"CARIAMIFORMES" "Cariamidae" "Seriemas" "Red-legged Seriema" "Cariama cristata" "LC" "Low" "not a migrant"
"CATHARTIFORMES" "Cathartidae" "New World Vultures" "Turkey Vulture" "Cathartes aura" "LC" "Low" "full migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Blond-crested Woodpecker" "Celeus flavescens" "LC" "Medium" "not a migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Helmeted Woodpecker" "Celeus galeatus" "VU" "High" "not a migrant"
"PASSERIFORMES" "Formicariidae" "Ground-antbirds" "Short-tailed Antthrush" "Chamaeza campanisona" "LC" "High" "not a migrant"
"PASSERIFORMES" "Pipridae" "Manakins" "Blue Manakin" "Chiroxiphia caudata" "LC" "High" "not a migrant"
"CORACIIFORMES" "Alcedinidae" "Kingfishers" "Amazon Kingfisher" "Chloroceryle amazona" "LC" "Low" "not a migrant"
"CORACIIFORMES" "Alcedinidae" "Kingfishers" "Green Kingfisher" "Chloroceryle americana" "LC" "Low" "not a migrant"
"PASSERIFORMES" "Fringillidae" "Finches" "Blue-naped Chlorophonia" "Chlorophonia cyanea" "LC" "Medium" "not a migrant"
"CAPRIMULGIFORMES" "Trochilidae" "Hummingbirds" "Glittering-bellied Emerald" "Chlorostilbon lucidus" "LC" "Medium" "full migrant"
"CAPRIMULGIFORMES" "Trochilidae" "Hummingbirds" "Versicolored Emerald" "Chrysuronia versicolor" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Magpie Tanager" "Cissopis leverianus" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Fuscous Flycatcher" "Cnemotriccus fuscatus" "LC" "Medium" "full migrant"
"CUCULIFORMES" "Cuculidae" "Cuckoos" "Dark-billed Cuckoo" "Coccyzus melacoryphus" "LC" "Medium" "full migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Pampas Flicker" "Colaptes campestroides" "LC" "Low" "not a migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Green-barred Woodpecker" "Colaptes melanochloros" "LC" "Medium" "not a migrant"
