species	Passo Fundo	Irati	Sao Francisco de Paula	Urugua-i	Gateados	Tres Barras	Pizzatto
Accipiter bicolor	1	1	1	1	1	1	1
Accipiter poliogaster	1	1	1	1	1	1	1
Accipiter striatus	1	1	1	1	1	1	1
Accipiter superciliosus	0	1	0	1	0	1	1
Actitis macularius	1	1	1	1	1	1	1
Aegolius harrisii	1	1	1	1	1	1	1
Agelaioides badius	1	1	1	1	1	1	1
Agelasticus cyanopus	0	0	0	1	0	0	0
Agelasticus thilius	0	0	1	0	0	0	0
Alectrurus tricolor	0	0	0	0	0	0	0
Alopochelidon fucata	1	1	1	1	1	1	1
Amaurospiza moesta	1	1	1	1	1	1	1
Amazona aestiva	1	1	1	1	1	1	1
Amazona farinosa	0	0	0	0	0	0	0
Amazona pretrei	0	0	0	0	0	0	0
Amazona vinacea	0	0	1	0	1	0	0
Amazonetta brasiliensis	1	1	1	1	1	1	1
Amblyramphus holosericeus	0	0	1	1	0	0	0
Ammodramus humeralis	1	1	1	1	1	1	1
Anabacerthia amaurotis	1	1	0	1	1	1	1
Anabacerthia lichtensteini	0	1	0	1	0	1	1
Anabazenops fuscus	0	0	0	0	0	0	0
Anas flavirostris	1	0	1	0	1	0	0
Anas georgica	1	0	1	0	0	0	0
Anhima cornuta	0	0	0	0	0	0	0
Anhinga anhinga	1	1	1	1	1	1	1
Anthracothorax nigricollis	1	1	1	1	1	1	1
Anthus correndera	0	0	1	0	1	0	0
Anthus furcatus	0	0	1	0	0	0	0
Anthus hellmayri	1	0	1	0	1	0	0
Anthus lutescens	1	1	1	1	1	1	1
Anthus nattereri	0	0	1	0	0	0	0
Antrostomus rufus	1	1	1	1	1	1	1
Antrostomus sericocaudatus	0	1	0	1	0	1	0
Anumbius annumbi	1	1	1	1	1	1	1
Aramides cajaneus	1	1	1	1	1	1	1
Aramides mangle	0	0	0	0	0	0	0
Aramides saracura	1	1	1	1	1	1	1
Aramides ypecaha	0	0	0	1	0	0	0
Aramus guarauna	1	1	1	1	1	1	1
Ardea alba	1	1	1	1	1	1	1
Ardea cocoi	1	1	1	1	1	1	1
Arenaria interpres	0	0	1	0	0	0	0
Arremon flavirostris	0	1	0	1	0	1	0
Arremon semitorquatus	0	0	0	0	0	0	0
Arundinicola leucocephala	1	1	1	1	1	1	1
Asemospiza fuliginosa	0	1	0	0	0	0	0
Asio clamator	1	1	1	1	1	1	1
Asio flammeus	1	1	0	1	1	1	1
Asio stygius	1	1	1	1	1	1	1
Athene cunicularia	1	1	1	1	1	1	1
Atticora tibialis	0	0	0	0	0	0	0
Attila phoenicurus	1	1	1	1	1	1	1
Attila rufus	0	0	0	0	0	0	0
Automolus leucophthalmus	1	1	1	1	1	1	1
Bartramia longicauda	1	0	1	1	0	0	1
Baryphthengus ruficapillus	0	1	0	1	1	1	1
Basileuterus auricapilla	1	1	1	1	1	1	1
Batara cinerea	1	1	1	1	1	1	1
Biatas nigropectus	0	0	0	0	0	0	0
Botaurus pinnatus	1	0	1	0	1	0	0
Brotogeris chiriri	0	0	0	1	0	0	0
Brotogeris tirica	0	0	0	0	0	0	0
Bubo virginianus	1	1	1	1	1	1	1
Bubulcus ibis	1	1	1	1	1	1	1
Busarellus nigricollis	1	1	1	1	1	1	1
Buteo albonotatus	0	1	0	1	1	1	1
Buteo brachyurus	1	1	1	1	1	1	1
Buteogallus coronatus	1	1	1	0	1	1	1
Buteogallus lacernulatus	0	0	0	0	0	0	0
Buteogallus meridionalis	1	1	1	1	1	1	1
Buteogallus urubitinga	1	1	1	1	1	1	1
Butorides striata	1	1	1	1	1	1	1
Cacicus chrysopterus	1	1	1	1	1	1	1
Cacicus haemorrhous	0	1	0	1	1	1	1
