Especies	Floresta natural	Plantacao de Araucaria	Plantacao de Pinus	Total Geral
Basileuterus culicivorus	14	4	9	27
Cacicus chrysopterus	0	1	2	3
Celeus flavescens	0	0	1	1
Chiroxiphia caudata	47	12	4	63
Chlorostilbon lucidus	1	0	3	4
Conopophaga lineata	12	6	1	19
Cyanoloxia brissonii	0	0	1	1
Cyclarhis gujanensis	0	1	0	1
Dendrocolaptes platyrostris	6	5	0	11
Dendroma rufa	1	0	0	1
Dysithamnus mentalis	7	8	2	17
Elaenia mesoleuca	1	0	1	2
Euphonia chalybea	0	1	0	1
Geotrygon montana	4	0	1	5
Haplospiza unicolor	2	0	1	3
Heliobletus contaminatus	2	0	0	2
Lathrotriccus euleri	3	3	4	10
Lepidocolaptes squamatus	0	0	1	1
Leptopogon amaurocephalus	8	0	2	10
Leptotila rufaxilla	1	2	1	4
Leptotila verreauxi	1	2	1	4
Leucochloris albicollis	4	13	17	34
Micrastur ruficollis	2	0	0	2
Myiodynastes maculatus	0	1	4	5
Myiothlypis leucoblephara	79	42	19	140
Pipraeidea melanonota	0	1	0	1
Platyrinchus mystaceus	44	34	13	91
Rupornis magnirostris	0	1	0	1
Saltator similis	0	2	0	2
Schiffornis turdina	1	0	0	1
Setophaga pitiayumi	0	1	0	1
Sittasomus griseicapillus	26	16	9	51
Stephanoxis loddigesii	9	11	16	36
Stilpnia preciosa	1	1	1	3
Strix hylophila	0	0	1	1
Synallaxis cinerascens	20	21	5	46
Synallaxis ruficapilla	8	14	1	23
Syndactyla rufosuperciliata	9	3	1	13
Tachyphonus coronatus	3	5	3	11
Thamnophilus caerulescens	1	0	0	1
Thlypopsis pyrrhocoma	22	28	9	59
Trichothraupis melanops	19	4	7	30
Trogon surrucura	0	0	3	3
Turdus albicollis	88	56	35	179
Turdus amaurochalinus	0	3	0	3
Turdus leucomelas	3	0	7	10
Turdus rufiventris	26	20	18	64
Turdus subalaris	3	3	4	10
Veniliornis spilogaster	1	2	0	3
Xenops rutilans	2	0	0	2
Zonotrichia capensis	5	15	36	56
