Especies	Total C	Total R	MN1 C	MN1 R	MN2 C	MN2 R	FA1 C	FA1 R	FA2 C	FA2 R	FP1 C	FP1 R	FP2 C	FP2 R
Crypturellus obsoletus	5	0	2	0	1	0	0	0	0	0	0	0	2	0
Buteo magnirostris	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Micrastur ruficollis	2	0	1	0	0	0	0	0	1	0	0	0	0	0
Milvago chimachima	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Leptotila verreauxi	14	1	1	1	1	0	6	0	1	0	3	0	2	0
Leptotila rufaxilla	5	1	3	0	0	0	1	0	0	0	0	0	1	1
Piaya cayana	2	0	0	0	0	0	2	0	0	0	0	0	0	0
Stephanoxis lalandi	21	1	5	0	1	0	7	0	1	1	4	0	3	0
Chorostilbon aureoventris	9	4	1	0	1	0	1	0	1	2	4	1	1	1
Leucochloris albicollis	24	1	0	0	1	0	2	0	2	0	10	0	9	1
Trogon surrucura	3	0	0	0	0	0	1	0	1	0	1	0	0	0
Ramphastos dicolorus	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Veniliornis spilogaster	12	2	2	0	1	0	6	0	0	0	0	0	3	2
Piculus aurulentus	4	0	0	0	0	0	2	0	0	0	0	0	2	0
Colaptes melanochloros	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Celeus flavescens	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Sittasomus griseicapillus	59	35	11	9	16	8	7	3	13	5	2	0	10	10
Dendrocolaptes platyrostris	41	15	5	2	9	4	6	4	15	3	3	0	3	2
Lepidocolaptes squamatus	13	3	0	0	2	0	2	2	4	0	0	0	5	1
Synallaxis ruficapilla	24	15	1	0	5	9	4	2	4	3	2	0	8	1
Synallaxis spixi	11	2	0	0	0	0	0	0	3	0	7	1	1	1
Synallaxis cinerascens	57	45	9	9	17	13	13	14	7	5	3	1	8	3
Syndactyla rufosuperciliata	21	15	5	1	4	2	2	3	2	0	1	0	7	9
Xenops rutilans	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Thamnophilus caerulescens	39	19	4	0	8	7	4	1	9	3	3	2	11	6
Drymophila malura	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Conopophaga lineata	13	3	2	0	3	0	1	0	5	1	0	0	2	2
Pachyramphus polychopterus	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Tityra cayana	2	0	1	0	0	0	0	0	1	0	0	0	0	0
Schiffornis virescens	4	1	1	0	0	0	0	0	3	1	0	0	0	0
Chiroxiphia caudata	60	27	17	19	9	2	9	1	6	0	3	0	16	5
Knipolegus cyanirostris	6	2	0	0	0	0	0	0	2	0	4	2	0	0
Myiodynastes maculatus	11	2	5	2	1	0	0	0	1	0	0	0	4	0
Myiarchus swainsoni	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Empidonax euleri	34	6	8	1	6	2	2	0	8	1	0	0	10	2
Platyrinchus mystaceus	41	38	11	12	12	11	1	0	7	8	0	0	10	7
Tolmomyias sulphurescens	2	0	0	0	0	0	0	0	0	0	0	0	2	0
Todirostrum plumbeiceps	4	0	0	0	0	0	1	0	0	0	2	0	1	0
Hemitriccus obsoletus	2	5	0	0	0	0	0	0	0	0	0	0	2	5
Serpophaga subcristata	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Elaenia albiceps	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Elaenia parvirostris	3	0	0	0	0	0	0	0	0	0	2	0	1	0
Elaenia mesoleuca	5	0	0	0	0	0	0	0	0	0	5	0	0	0
Myiopagis viridicata	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Camptostoma obsoletum	2	0	1	0	0	0	0	0	0	0	0	0	1	0
Phyllomyas fasciatus	20	3	0	0	5	1	2	1	8	1	4	0	1	0
Leptopogon amaurocephalus	27	5	2	0	5	2	4	1	7	0	2	0	7	2
Mionectes rufiventris	8	1	1	0	2	0	2	0	3	1	0	0	0	0
Phylloscartes eximius	9	2	1	1	1	0	1	0	3	0	1	0	2	1
Phylloscartes ventralis	2	1	0	0	1	0	0	1	0	0	0	0	1	0
Cyanocorax caeruleus	3	1	0	0	0	0	2	1	0	0	0	0	1	0
Troglodytes aedon	6	1	0	0	0	0	0	0	0	0	6	1	0	0
Turdus nigriceps	4	0	2	0	0	0	1	0	0	0	0	0	1	0
Turdus rufiventris	35	15	4	3	6	2	8	5	8	2	4	1	5	2
Turdus leucomelas	5	0	2	0	0	0	1	0	0	0	0	0	2	0
Turdus amaurochalinus	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Turdus albicollis	116	35	33	15	23	4	14	4	27	5	2	0	17	7
