	Especies	FO MN1	FO MN2	FO FA1	FO FA2	FO PF1	FO PF2	IPA MN1	IPA MN2	IPA FA1	IPA FA2	IPA PF1	IPA PF2	Status
1	Crypturellus obsoletus	"97,1"	"91,2"	"77,1"	"97,1"	"97,1"	"80,0"	"64,7"	"48,2"	"33,1"	"73,4"	"56,5"	"54,3"	R
2	Rhynchotus rufescens		"2,9"						"0,6"					R
3	Ardeidae Bubulcus ibis	"2,9"	"5,9"											R
4	Syrigma sibilatrix	"2,9"	"8,8"	"25,7"	"17,6"	"2,9"	"2,9"	"0,6"	"1,8"	"5,7"	"4,1"	"0,6"	"0,6"	R
5	Theristicus caudatus		"2,9"	"2,9"			"2,9"		"0,6"	"0,6"			"0,6"	R
6	Coragyps atratus	"8,8"	"23,5"		"2,9"	"2,9"	"2,9"	"1,8"	"5,3"		"0,6"	"0,6"	"0,6"	R
7	Cathartes aura					"2,9"						"0,6"		R
8	Elanoides forficatus		"2,9"						"0,6"					M
9	Ictinia plumbea		"2,9"			"2,9"			"1,2"			"0,6"		M
10	Accipiter striatus		"5,9"	"5,7"	"8,8"		"8,6"		"1,2"	"1,1"	"1,8"		"1,7"	M#
11	Buteo magnirostris	"11,8"	"17,6"	"14,3"	"5,9"	"8,8"	"25,7"	"4,1"	"5,3"	"3,4"	"1,2"	"2,4"	"6,9"	R
12	Falconidae Micrastur ruficollis	"26,5"	"47,1"	"11,4"	"47,1"	"23,5"	"20,0"	"5,3"	"13,5"	"4,6"	"19,5"	"7,7"	"6,9"	R
13	Micrastur semitorquatus				"8,8"	"2,9"					"6,5"	"0,6"		D
14	Milvago chimachima	"91,2"	"88,2"	"97,1"	"94,1"	"85,3"	"94,3"	"50,6"	"46,5"	"77,1"	"60,4"	"36,3"	"46,3"	R
15	Milvago chimango			"5,7"						"3,4"				R
16	Polyborus plancus		"8,8"						"2,9"					R
17	Falco femoralis Cracidae		"5,9"						"1,2"					R
18	Penelope obscura	"41,2"	"20,6"	"14,3"	"29,4"	"20,6"	"31,4"	"9,4"	"5,3"	"4,6"	"7,1"	"6,0"	"9,1"	R
19	Rallidae Aramides saracura	"85,3"	"76,5"	"80,0"	"67,6"	"76,5"	"77,1"	"37,1"	"31,2"	"29,1"	"28,4"	"36,9"	"33,7"	R
20	Columbidae Columba picazuro	"58,8"	"61,8"	"51,4"	"76,5"	"41,2"	"60,0"	"28,8"	"21,8"	"23,4"	"47,9"	"18,5"	"28,6"	R
21	Zenaida auriculata		"5,9"				"2,9"		"1,2"				"0,6"	R
22	Leptotila verreauxi	"55,9"	"82,4"	"20,0"	"52,9"	"58,8"	"71,4"	"19,4"	"47,6"	"5,1"	"23,1"	"28,6"	"33,7"	R
23	Leptotila rufaxilla	"23,5"	"20,6"	"2,9"	"17,6"	"20,6"	"28,6"	"5,3"	"4,7"	"0,6"	"5,9"	"8,3"	"8,6"	R
24	Pyrrhura frontalis	"88,2"	"100,0"	"37,1"	"32,4"	"50,0"	"34,3"	"32,9"	"62,4"	"11,4"	"10,7"	"18,5"	"12,0"	R
