Especies	Estrato	Guilda	Sensibilidade	Habito	FN	PN	PE	Teste G	p
"Crypturellus obsoletus (Temminck, 1815)"	S	G	B	D	"0,29"	"0,33"	"0,19"	"2,0"	"0,3"
"Penelope obscura Temminck, 1815"	S	F/O	M	G	"0,02"	"0,04"		"0,3"	"0,5"
"Urubitinga urubitinga (Gmelin, 1788)"	S/C	C	M	G		"0,02"	"0,04"	"0,3"	"0,5"
"Rupornis magnirostris (Gmelin, 1788)"	C	O	B	G	"0,06"	"0,04"		"0,2"	"0,6"
"Aramides saracura (Spix, 1825)"	S	I	B	G		"0,02"	"0,04"	"0,3"	"0,5"
"Patagioenas picazuro (Temminck, 1813)"	S	G	B	G	"0,15"	"0,54"	"0,38"	"10,7"	5*
"Patagioenas cayennensis (Bonnaterre, 1792)"	S/M/C	F	B	G			"0,06"		
"Leptotila verreauxi Bonaparte, 1855"	M	G	B	G	"0,29"	"0,31"	"0,33"	"0,1"	"0,9"
"Leptotila rufaxilla (Richard & Bernard, 1792)"	M	G	B	G	"0,06"	"0,06"	"0,08"	"0,2"	"0,9"
"Piaya cayana (Linnaeus, 1766)"	M/C	I	B	G	"0,04"	"0,02"		"0,3"	"0,5"
"Guira guira (Gmelin, 1788)"	S	O	B	G			"0,02"		
"Tapera naevia (Linnaeus, 1766)"	S/M/C	O	B	G		"0,04"	"0,04"	0	"1,0"
"Dromococcyx phasianellus (Spix, 1824)"	S	I	M	D	"0,02"				
"Chlorostilbon lucidus (Shaw, 1812)"	M/C	N	B	G			"0,02"		
"Leucochloris albicollis (Vieillot, 1818)"	M	N	B	G	"0,02"	"0,02"	"0,04"	"0,5"	"0,7"
"Trogon surrucura Vieillot, 1817"	M/C	F/O	M	G	"0,79"	"0,60"	"0,44"	"4,9"	"0,08"
"Trogon rufus Gmelin, 1788"	M/C	F/O	A	D	"0,06"	"0,06"	"0,02"	"1,1"	"0,5"
