Species	English name	Local survey F	Local survey A	Local survey P	Regional survey F	Regional survey regional A	Regional survey regional P
Crypturellus obsoletus (FD)	Brown Tinamou	X	-	-	X	X	-
Crypturellus parvirostris (ED)	Small-billed Tinamou	-	-	-	-	X	X
Crypturellus tataupa (FG)	Tataupa Tinamou	-	X	X	-	-	X
Tinamus solitarius (FD)	Solitary Tinamou	-	-	-	X	-	-
Coragyps atratus (ED)	Black Vulture	-	-	-	X	-	-
Buteo magnirostris (FG)	Roadside Hawk	-	-	X	X	X	X
Elanoides forficatus (FG)	Swallow-tailed Kite	-	-	-	-	-	X
Ictinea plumbea (FG)	Plumbeous Kite	-	-	-	X	-	-
Micrastur semitorquatus (FD)	Collared Forest-Falcon	X	-	-	X	-	-
Penelope supercilliaris (FD)	Rusty-margined Guan	-	-	-	X	-	-
Odontophorus capueira (FD)	Spot-Winged Quail	X	-	-	X	-	-
Columba cayennensis (FG)	Pale-vented Pigeon	X	X	X	X	-	X
Columba picazuro (FG)	Picazuro Pigeon	X	X	X	X	X	X
Geotrygon montana (FD)	Ruddy Quail-Dove	-	-	-	X	-	-
Leptotila rufaxilla (FG)	Gray-fronted Dove	X	-	-	-	-	-
Leptotila verreauxi (FG)	White-tipped Dove	X	X	X	-	-	-
Zenaida auriculata (ED)	Eared Dove	-	-	-	-	-	X
Aratinga leucophthalma (FG)	White-eyed Parakeet	X	-	X	X	-	-
Pionus maximiliani (FG)	Scaly-headed Parrot	-	-	-	X	X	X
Pyrrhura frontalis (FD)	Reddish-bellied Parakeet	-	-	-	X	-	X
Piaya cayana (FG)	Squirrel Cuco	-	-	-	X	X	-
Crotophaga major (FD)	Greater Ani	-	-	-	X	-	-
Dromococcyx phasianellus (FD)	Pheasant Cuckoo	-	-	-	X	-	-
Guira guira (ED)	Guira Cuco	-	-	-	-	X	-
Tapera naevia (ED)	Striped Cuco	-	-	-	X	X	X
Amazilia versicolor (FG)	Versicolored Emerald	-	-	-	-	-	X
Chlorostilbon aureoventris (ED)	Glittering-bellied Emerald	-	X	-	X	-	-
