tipo_florestal,parcelas,Basileuterus_culicivorus,Cacicus_chrysopterus,Celeus_flavescens,Chiroxiphia_caudata,Chlorostilbon_lucidus,Conopophaga_lineata,Cyanoloxia_brissonii,Cyclarhis_gujanensis,Dendrocolaptes_platyrostris,Dendroma_rufa,Dysithamnus_mentalis,Elaenia_mesoleuca,Euphonia_chalybea,Geotrygon_montana,Haplospiza_unicolor,Heliobletus_contaminatus,Lathrotriccus_euleri,Lepidocolaptes_squamatus,Leptopogon_amaurocephalus,Leptotila_rufaxilla,Leptotila_verreauxi,Leucochloris_albicollis,Micrastur_ruficollis,Myiodynastes_maculatus,Myiothlypis_leucoblephara,Pipraeidea_melanonota,Platyrinchus_mystaceus,Rupornis_magnirostris,Saltator_similis,Schiffornis_turdina,Setophaga_pitiayumi,Sittasomus_griseicapillus,Stephanoxis_loddigesii,Stilpnia_preciosa,Strix_hylophila,Synallaxis_cinerascens,Synallaxis_ruficapilla,Syndactyla_rufosuperciliata,Tachyphonus_coronatus,Thamnophilus_caerulescens,Thlypopsis_pyrrhocoma,Trichothraupis_melanops,Trogon_surrucura,Turdus_albicollis,Turdus_amaurochalinus,Turdus_leucomelas,Turdus_rufiventris,Turdus_subalaris,Veniliornis_spilogaster,Xenops_rutilans,Zonotrichia_capensis
Plantacao_de_araucaria,A1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2,0,0,0,0,1,3,0,0,2,2,0,0,0,3,1,0,10,0,0,4,0,0,0,3
Plantacao_de_araucaria,A2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,3,5,1,0,5,4,2,0,0,12,0,0,5,0,0,2,0,0,0,2
Plantacao_de_araucaria,A3,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,7,1,1,0,1,1,2,0,0,1,4,0,4,0,5,1,0,9,0,0,3,0,0,0,3
Plantacao_de_araucaria,A4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,7,0,0,0,0,2,1,0,0,4,1,0,0,0,5,0,0,7,2,0,4,2,1,0,4
Plantacao_de_araucaria,A5,0,0,0,5,0,4,0,0,1,0,3,0,1,0,0,0,1,0,0,0,1,3,0,0,12,0,6,0,1,0,0,6,0,0,0,4,3,1,1,0,2,1,0,19,0,0,4,0,1,0,2
Plantacao_de_araucaria,A6,3,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,7,0,6,0,0,0,0,3,0,0,0,5,0,0,0,0,1,1,0,6,1,0,3,1,0,0,1
Floresta_natural,N1,6,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13,0,11,0,0,0,0,5,3,0,0,4,3,3,0,0,5,3,0,8,0,0,9,0,0,0,1
Floresta_natural,N2,2,0,0,18,0,3,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,2,1,0,4,0,6,0,0,0,0,2,5,0,0,4,2,3,0,0,3,4,0,15,0,1,1,1,1,0,0
Floresta_natural,N3,1,0,0,4,0,3,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,11,0,9,0,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,18,0,0,5,1,0,0,0
Floresta_natural,N4,4,0,0,13,0,3,0,0,4,0,3,1,0,0,0,0,0,0,2,0,0,0,1,0,21,0,7,0,0,1,0,5,1,0,0,2,0,2,1,1,3,4,0,13,0,1,7,0,0,0,0
Floresta_natural,N5,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,18,0,7,0,0,0,0,7,0,1,0,2,0,1,0,0,1,4,0,22,0,1,2,1,0,2,1
Floresta_natural,N6,1,0,0,5,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,12,0,4,0,0,0,0,2,0,0,0,5,3,0,2,0,5,4,0,12,0,0,2,0,0,0,3
Plantacao_de_pinus,P1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,3,0,0,0,0,2,4,1,1,0,0,0,0,0,0,1,0,6,0,0,3,0,0,0,5
Plantacao_de_pinus,P2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,5,0,2,6,0,0,0,9
Plantacao_de_pinus,P3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,5
Plantacao_de_pinus,P4,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,3,0,2,0,2,1,0,0,0,6
Plantacao_de_pinus,P5,1,2,0,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,0,3,8,0,4,0,0,0,0,4,1,0,0,2,0,0,3,0,2,2,3,18,0,1,4,1,0,0,9
Plantacao_de_pinus,P6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,4,0,1,4,3,0,0,2
