		dados de 2008	ind		densidade (indiv/ha)	abundancia (indivi)			densidade	abundancia
1C	PM	Veniliornis spilogaster	1	25	1,699	1,000	ITR			
1C	PM	Sittasomus griseicapillus	1	25	1,699	1,000	ITR	ITR	3,397	2,001
1A	PM	Phylloscartes ventralis	1	15	4,718					
1B	PM	Phylloscartes ventralis	1	25	1,699	3,779	MI	MI	6,417	3,779
1B	PM	Vireo olivaceus	1	25	1,699	1,000	POD	POD	1,699	1,000
1A	PM	Cyanocorax caeruleus	4	25	6,794	4,002	FFI	FFI	6,794	4,002
1C	PM	Troglodytes musculus	2	25	3,397	2,001	IB	IB	3,397	2,001
1C	PM	Zonotrichia capensis	4	15	18,872					
1B	PM	Zonotrichia capensis	5	25	8,493	16,118	GB	GB	27,365	16,118
										
2A	PM	Phylloscartes ventralis	1	15	4,718					
2A	PM	Phylloscartes ventralis	1	25	1,699	3,779	MI	MI	6,417	3,779
2A	PM	Zonotrichia capensis	5	25	8,493	5,002	GB	GB	8,493	5,002
2B	PM	Sittasomus griseicapillus	1	25	1,699	1,000	ITR	ITR	1,699	1,000
2C	PM	Turdus amaurochalinus	1	25	1,699	1,000	OB	OB	1,699	1,000
										
3A	PM	Vireo olivaceus	2	25	3,397	2,001	POD	POD	3,397	2,001
3A	PM	Zonotrichia capensis	1	15	4,718					
3A	PM	Zonotrichia capensis	2	25	3,397	4,780	GB	GB	11,512	6,781
3B	PM	Turdus albicollis	1	15	4,718	2,779	POS	POS	4,718	2,779
3C	PM	Phylloscartes ventralis	1	15	4,718	2,779	MI	MI	4,718	2,779
3C	PM	Carduelis magellanica	2	25	3,397	2,001	GB			
										
4B	PM	Zonotrichia capensis	1	25	1,699	1,000	GB	GB	1,699	1,000
										
1A	PV	Zonotrichia capensis	1	15	4,718					
1A	PV	Zonotrichia capensis	9	25	15,287	11,783	GB	GB	20,005	11,783
1A	PV	Phylloscartes ventralis	2	25	3,397	2,001	MI	MI	3,397	2,001
1A	PV	Troglodytes musculus	1	15	4,718					
1A	PV	Troglodytes musculus	2	25	3,397	4,780	IB	IB	8,115	4,780
1A	PV	Parula pitiayumi	1	25	1,699	1,000	PID	PID	1,699	1,000
										
2A	PV	Milvago chimachima	1	25	1,699	1,000	CD	CD	1,699	1,000
2C	PV	Zonotrichia capensis	1	15	4,718					
2A	PV	Zonotrichia capensis	6	25	10,191	8,782	GB	GB	14,909	8,782
2B	PV	Turdus albicollis	1	25	1,699	1,000	POS	POS	1,699	1,000
2C	PV	Trogon surrucura	2	25	3,397	2,001	FFI	FFI	3,397	2,001
2C	PV	Stephanophorus diadematus	1	25	1,699	1,000	POD	POD	1,699	1,000
										
3A	PV	Zonotrichia capensis	4	25	6,794	4,002	GB	GB	6,794	4,002
3B	PV	Troglodytes musculus	1	15	4,718					
3C	PV	Troglodytes musculus	1	25	1,699	3,779	IB	IB	6,417	3,779
3B	PV	Vireo olivaceus	1	25	1,699	1,000	POD	POD	1,699	1,000
3C	PV	Phyllomyias virescens 	1	25	1,699	1,000	PID	PID	1,699	1,000
										
4A	PV	Zonotrichia capensis	3	15	14,154					
4A	PV	Zonotrichia capensis	4	25	6,794	12,339	GB	GB	20,948	12,339
4A	PV	Troglodytes musculus	1	15	4,718					
4A	PV	Troglodytes musculus	1	25	1,699	3,779	IB	IB	6,417	3,779
4A	PV	Vireo olivaceus	2	25	3,397	2,001	POD	POD	3,397	2,001
4B	PV	Chlorostilbon lucidus	1	15	4,718	2,779	NI	NI	4,718	2,779
4C	PV	Phyllomyias virescens 	1	25	1,699	1,000	PID	PID	1,699	1,000
4C	PV	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR	ITR	1,699	1,000
										
1B	PS	Zonotrichia capensis	1	5	42,463					
1A	PS	Zonotrichia capensis	2	15	9,436					
1C	PS	Zonotrichia capensis	1	25	1,699	31,569	GB	GB	58,316	34,348
1C	PS	Saltator similis	1	15	4,718					
1A	PS	Saltator similis	1	25	1,699	3,779	OB	OB	24,345	14,339
1A	PS	Vireo olivaceus	1	25	1,699	1,000	POD	POD	11,512	6,781
1A	PS	Cyanocompsa brissonii	1	15	4,718	2,779	GB			
1A	PS	Poecilotriccus plumbeiceps	1	15	4,718	2,779	FSAF	FSAF	140,599	82,813
